Date,low,high,open,close,vol,polarity,subjectivity,AVGprice,polNorm
7/20/15,277.4,280,278,280,782.9,-0.013722944,0.570061843,278.7,0.493138528
7/21/15,276.8,281.3,280,277.3,4943.6,0.035090031,0.392533252,279.05,0.517545016
7/22/15,275,278.5,277.3,277.9,4687.9,0.091666667,0.552314815,276.75,0.545833334
7/23/15,276.3,279.8,278,277.4,5306.9,0,0,278.05,0.5
7/24/15,276.4,291.5,277.2,289.1,7362.5,0.018114964,0.515162422,283.95,0.509057482
7/25/15,286.8,291.7,289.1,289.7,4102.5,0,0,289.25,0.5
7/26/15,288.6,294.5,289.7,293.9,3735.2,0.128333333,0.563558201,291.55,0.564166667
7/27/15,287.2,297,293.9,294.2,6461,0.159116743,0.455061444,292.1,0.579558372
7/28/15,293.6,298,294.2,295.8,5761.9,0.222916667,0.496019345,295.8,0.611458334
7/29/15,289,296.6,295.7,290.2,5223.5,0.221086808,0.54852662,292.8,0.610543404
7/30/15,286.6,291.6,290.3,288.5,5139,0.087575758,0.353030303,289.1,0.543787879
7/31/15,282.8,290,288.5,285.2,5676.6,0,0,286.4,0.5
8/1/15,277.3,285.6,285.2,281.5,3932.4,0,0,281.45,0.5
8/2/15,277.3,282.6,281.5,282.6,3361.1,0,0,279.95,0.5
8/3/15,280.3,285.9,282.6,281,4741.7,0,0,283.1,0.5
8/4/15,280.1,286.5,281,285.5,5580.2,0.057719436,0.387944096,283.3,0.528859718
8/5/15,282,286.2,285.6,282.8,5765.5,0,0,284.1,0.5
8/6/15,279,282.6,282.4,279.6,5027.9,0,0,280.8,0.5
8/7/15,277,281.2,279.4,279.9,5212.5,0,0,279.1,0.5
8/8/15,260.1,280.2,280.1,262,6085.4,0,0,270.15,0.5
8/9/15,261,268.8,262,267.6,5047,0,0,264.9,0.5
8/10/15,263.2,268.9,267.6,265.2,5478.6,0,0,266.05,0.5
8/11/15,264.9,272,265.2,272,5796.1,0.075540564,0.551287478,268.45,0.537770282
8/12/15,265.8,272.4,272,266.9,6350.3,0,0,269.1,0.5
8/13/15,262.9,267.8,266.8,264.7,5343.4,0,0.6,265.35,0.5
8/14/15,262.5,268,264.5,266.2,6859.1,0,0,265.25,0.5
8/15/15,261.8,267.7,266.2,262.5,4116.1,-0.083116883,0.523701299,264.75,0.458441559
8/16/15,255.7,263.1,262.4,259.2,5493.6,0.186787053,0.429092471,259.4,0.593393527
8/17/15,255.6,261.6,259.2,257.3,6966.8,0,0,258.6,0.5
8/18/15,200,258,257.6,222,11541.8,0.0625,0.354166667,229,0.53125
8/19/15,214.9,239,222,227.3,13329.7,0,0,226.95,0.5
8/20/15,227.4,238.2,227.5,235.6,8819.5,0.075523756,0.556546951,232.8,0.537761878
8/21/15,231.2,237,235.6,232.8,8328.6,0.041666667,0.833333333,234.1,0.520833334
8/22/15,222.7,235.5,232.8,231.2,7197.3,0,0,229.1,0.5
8/23/15,226.2,233.2,231.2,229.2,4312.6,1,0.3,229.7,1
8/24/15,210,229.2,229.2,211.2,16523.8,0,0,219.6,0.5
8/25/15,198,229.5,211.2,223.7,19685.2,0.1875,0.4375,213.75,0.59375
8/26/15,220.2,232,223.7,226.8,9756.3,0,0,226.1,0.5
8/27/15,224,230,226.7,225.8,7891.1,0,0,227,0.5
8/28/15,221.2,236.2,225.6,231.6,9155.3,-0.075277778,0.627777778,228.7,0.462361111
8/29/15,228,234,231.6,230.6,4469.3,0.194444444,0.401984127,231,0.597222222
8/30/15,226.6,233.5,230.6,229.4,4976,0,0,230.05,0.5
8/31/15,225.2,233,229.4,230.8,6986.5,0,0,229.1,0.5
9/1/15,226.4,233.5,230.8,228.2,8599.3,0.059659091,0.474431818,229.95,0.529829546
9/2/15,226.4,231.4,228.2,230,7461.1,0,0,228.9,0.5
9/3/15,226.5,230.8,230,227.2,6669.7,0,0,228.65,0.5
